Transaction Name,Organization Location,Organization Industries,Organization Name,Funding Type,Money Raised,Announced Date,Number of Investors,Lead Investors,Funding Stage
Seed - Tilde Flow,"Seattle, Washington, United States",Generative AI,Tilde Flow,Seed,"$3,100,000","Sep 14, 2025",4,Frontier Fund,Seed
Series C - Ketl Labs,"New York, New York, United States","Foundational AI, SaaS",Ketl Labs,Series C,"$1,090,100,000","Sep 13, 2025",6,Northstar Capital,Late Stage Venture
Seed - Synth Grid,"Boston, Massachusetts, United States",Agentic AI,Synth Grid,Seed,"$3,400,000","Jan 17, 2026",2,"Summit Ventures, Cardinal Capital",Seed
Series D - Brimatlas Technologies,"Seattle, Washington, United States",Foundational AI,Brimatlas Technologies,Series D,"$834,300,000","Oct 16, 2025",8,Cobalt Fund,Late Stage Venture
Series B - Sageumbra Flow,"Montreal, Quebec, Canada",AI Infrastructure,Sageumbra Flow,Series B,"$55,000,000","Mar 12, 2026",6,Stonebridge Ventures,Early Stage Venture
Series C - Cogni Cloud,"Los Angeles, California, United States","SaaS, Generative AI",Cogni Cloud,Series C,"$117,700,000","Sep 4, 2025",3,"Northstar VC, Cobalt Fund",Late Stage Venture
Series B - Sift Flow,"San Francisco, California, United States",Generative AI,Sift Flow,Series B,"$41,100,000","Nov 18, 2025",5,Granite Capital Partners,Early Stage Venture
Seed - Quant Intelligence,"Boston, Massachusetts, United States",AI Infrastructure,Quant Intelligence,Seed,"$5,800,000","Mar 8, 2026",4,"Union Square Capital, Stonebridge Capital",Seed
Seed - Yaracascade Core,"Seattle, Washington, United States",Generative AI,Yaracascade Core,Seed,"$3,700,000","Apr 3, 2026",2,Harbor Growth,Seed
Seed - Neur Grid,"San Francisco, California, United States",SaaS,Neur Grid,Seed,"$2,300,000","Mar 26, 2026",2,"Summit Ventures, Aurora Group",Seed
Series A - Cove Scale,"San Francisco, California, United States",Agentic AI,Cove Scale,Series A,"$17,500,000","Aug 28, 2025",3,Sterling VC,Early Stage Venture
Series B - Verge Stack,"Seattle, Washington, United States",Generative AI,Verge Stack,Series B,"$40,800,000","Sep 13, 2025",4,"Anchor VC, Lakeside Capital",Early Stage Venture
Series A - Lumenvant AI,"Boston, Massachusetts, United States","SaaS, Generative AI",Lumenvant AI,Series A,"$100,500,000","Aug 20, 2025",3,North Group,Early Stage Venture
Seed - Sable Intelligence,"San Diego, California, United States",SaaS,Sable Intelligence,Seed,"$3,800,000","Mar 2, 2026",4,"Granite Capital, Frontier Ventures",Seed
Series B - Echo Labs,"Boston, Massachusetts, United States",Generative AI,Echo Labs,Series B,"$41,200,000","Feb 16, 2026",6,Union Square Capital Partners,Early Stage Venture
Seed - Echoiris Compute,"Atlanta, Georgia, United States","Agentic AI, AI Infrastructure",Echoiris Compute,Seed,"$2,200,000","Apr 16, 2026",4,Foundry Partners,Seed
Series A - Cascadesynth Cloud,"San Diego, California, United States","Agentic AI, Generative AI",Cascadesynth Cloud,Series A,"$45,900,000","Jun 16, 2025",2,Foundry Partners,Early Stage Venture
Series A - Sift Layer,"Boston, Massachusetts, United States",Generative AI,Sift Layer,Series A,"$11,200,000","Apr 6, 2026",2,"Pinnacle Capital Partners, Vista Fund",Early Stage Venture
Series A - Lattice Stack,"San Francisco, California, United States",SaaS,Lattice Stack,Series A,"$32,000,000","Jan 31, 2026",4,Union Square Capital Partners,Early Stage Venture
Seed - Quant Cloud,"San Francisco, California, United States","Generative AI, SaaS",Quant Cloud,Seed,"$3,100,000","Jun 2, 2025",3,"Aurora Growth, Harbor Capital Partners",Seed
Series A - Cascadelumen Sense,"Boston, Massachusetts, United States",SaaS,Cascadelumen Sense,Series A,"$11,400,000","Sep 25, 2025",4,Ascent Capital,Early Stage Venture
Seed - Quant Scale,"Seattle, Washington, United States","SaaS, Generative AI",Quant Scale,Seed,"$1,800,000","Apr 13, 2026",3,"Brightwater Fund, Pinnacle Ventures",Seed
Series B - Cortex Works,"Toronto, Ontario, Canada","SaaS, Agentic AI, Generative AI",Cortex Works,Series B,"$87,200,000","Mar 12, 2026",6,"Frontier Growth, Brightwater Partners",Early Stage Venture
Series B - Cobalt Sense,"Austin, Texas, United States","AI Infrastructure, Agentic AI, Foundational AI",Cobalt Sense,Series B,"$56,300,000","Oct 3, 2025",3,"Redwood Growth, Lighthouse Capital Partners",Early Stage Venture
Series A - Cogni Dynamics,"Los Angeles, California, United States","SaaS, Agentic AI",Cogni Dynamics,Series A,"$31,900,000","Oct 7, 2025",2,Sterling VC,Early Stage Venture
Series B - Aether Stack,"San Francisco, California, United States",SaaS,Aether Stack,Series B,"$37,800,000","Nov 22, 2025",6,"Meridian Partners, Harbor Fund",Early Stage Venture
Series D - Larqcascade Sense,"San Jose, California, United States","Generative AI, Agentic AI, AI Infrastructure",Larqcascade Sense,Series D,"$967,400,000","Jul 2, 2025",8,"Anchor Partners, Meridian Partners",Late Stage Venture
Series B - Vector Logic,"Boston, Massachusetts, United States",SaaS,Vector Logic,Series B,"$86,100,000","Sep 22, 2025",3,"Lighthouse Capital, Redwood Ventures",Early Stage Venture
Series B - Drifttensor Scale,"Palo Alto, California, United States","Foundational AI, SaaS",Drifttensor Scale,Series B,"$129,000,000","Sep 24, 2025",2,"Anchor Partners, Union Square Capital Partners",Early Stage Venture
Series D - Pinnaclelarq Flow,"Atlanta, Georgia, United States","AI Infrastructure, Agentic AI, SaaS",Pinnaclelarq Flow,Series D,"$1,076,100,000","Jun 5, 2025",3,"Meridian VC, Catalyst Ventures",Late Stage Venture
Series D - Cobalt Flow,"Seattle, Washington, United States",Generative AI,Cobalt Flow,Series D,"$305,200,000","Apr 2, 2026",3,"North Group, Aurora Group",Late Stage Venture
Series C - Vertex Technologies,"San Francisco, California, United States","Agentic AI, AI Infrastructure",Vertex Technologies,Series C,"$300,000,000","Apr 24, 2026",7,Foundry Group,Late Stage Venture
Seed - Keystone AI,"Los Angeles, California, United States",Foundational AI,Keystone AI,Seed,"$7,000,000","Sep 19, 2025",2,Compass Ventures,Seed
Seed - Onyx Labs,"Atlanta, Georgia, United States",Generative AI,Onyx Labs,Seed,"$2,200,000","Jun 22, 2025",3,"Catalyst Capital, Pinnacle VC",Seed
Series A - Quant Sense,"San Francisco, California, United States",Agentic AI,Quant Sense,Series A,"$18,400,000","Apr 8, 2026",2,"Catalyst Ventures, Foundry VC",Early Stage Venture
Seed - Onyx Cloud,"Denver, Colorado, United States","Agentic AI, SaaS",Onyx Cloud,Seed,"$3,000,000","Feb 4, 2026",4,Granite Capital Partners,Seed
Series A - Quant.ai,"Toronto, Ontario, Canada",Generative AI,Quant.ai,Series A,"$18,600,000","Jan 31, 2026",3,Stonebridge Capital,Early Stage Venture
Seed - Hyper.ai,"New York, New York, United States",SaaS,Hyper.ai,Seed,"$11,800,000","Mar 17, 2026",1,"Northstar Capital, Pinnacle Partners",Seed
Seed - Onyx,"New York, New York, United States",SaaS,Onyx,Seed,"$3,200,000","Jan 2, 2026",4,"Compass Capital Partners, Meridian Partners",Seed
Series B - Delve Systems,"Mountain View, California, United States","SaaS, Foundational AI",Delve Systems,Series B,"$137,000,000","Mar 19, 2026",3,Cedar Capital Partners,Early Stage Venture
Seed - Cipher Compute,"San Francisco, California, United States",Foundational AI,Cipher Compute,Seed,"$2,400,000","Jan 7, 2026",4,Ascent Growth,Seed
Series A - Pylon Intelligence,"Montreal, Quebec, Canada","SaaS, Agentic AI",Pylon Intelligence,Series A,"$28,000,000","May 10, 2026",4,"Pinnacle Growth, Sterling Capital Partners",Early Stage Venture
Series A - Beacon AI,"Vancouver, British Columbia, Canada","Generative AI, SaaS",Beacon AI,Series A,"$6,500,000","Nov 22, 2025",2,Redwood Growth,Early Stage Venture
Series A - Tilde Systems,"San Francisco, California, United States","AI Infrastructure, Generative AI",Tilde Systems,Series A,"$36,600,000","May 18, 2026",3,"Stonebridge Ventures, Vista Fund",Early Stage Venture
Series A - Ember Flow,"Palo Alto, California, United States","SaaS, Generative AI, Agentic AI",Ember Flow,Series A,"$29,700,000","Apr 17, 2026",2,"North VC, Cardinal Capital",Early Stage Venture
Series B - Mura Core,"Toronto, Ontario, Canada",AI Infrastructure,Mura Core,Series B,"$65,600,000","Sep 7, 2025",6,Catalyst Ventures,Early Stage Venture
Seed - Bloomdyne Works,"Cambridge, Massachusetts, United States",Foundational AI,Bloomdyne Works,Seed,"$12,800,000","Aug 30, 2025",2,"Beacon Ventures, Ascent VC",Seed
Series A - Beaconcove Flow,"Toronto, Ontario, Canada",SaaS,Beaconcove Flow,Series A,"$37,600,000","Aug 6, 2025",3,Granite Capital Partners,Early Stage Venture
Series B - Vela,"Cambridge, Massachusetts, United States","Foundational AI, AI Infrastructure",Vela,Series B,"$183,500,000","Feb 24, 2026",6,Harbor Fund,Early Stage Venture
Seed - Mosaic Logic,"San Francisco, California, United States","Generative AI, Agentic AI",Mosaic Logic,Seed,"$1,500,000","Jun 6, 2025",2,"North VC, Apex Partners",Seed
Seed - Mosaic Technologies,"Boston, Massachusetts, United States","Generative AI, Agentic AI",Mosaic Technologies,Seed,"$6,800,000","Jan 16, 2026",1,"Foundry Group, Meridian Partners",Seed
Seed - Wrenreify Cloud,"Mountain View, California, United States","SaaS, Generative AI",Wrenreify Cloud,Seed,"$3,000,000","Jan 18, 2026",2,"Highland Fund, Brightwater VC",Seed
Series A - Novavela Compute,"Seattle, Washington, United States",Generative AI,Novavela Compute,Series A,"$32,200,000","Sep 8, 2025",4,North Group,Early Stage Venture
Seed - Arc Layer,"New York, New York, United States","SaaS, Agentic AI",Arc Layer,Seed,"$4,100,000","Aug 30, 2025",3,Catalyst Capital,Seed
Seed - Yara Scale,"New York, New York, United States","SaaS, Generative AI",Yara Scale,Seed,"$2,900,000","Feb 10, 2026",2,"Pinnacle Growth, Redwood Growth",Seed
Series C - Lumennova Scale,"San Francisco, California, United States",SaaS,Lumennova Scale,Series C,"$122,300,000","Dec 19, 2025",5,Northstar Ventures,Late Stage Venture
Series A - Sable Flow,"Austin, Texas, United States",Generative AI,Sable Flow,Series A,"$21,700,000","Mar 20, 2026",3,Brightwater VC,Early Stage Venture
Series D - Coda Scale,"Boston, Massachusetts, United States","SaaS, Agentic AI",Coda Scale,Series D,"$237,400,000","Sep 26, 2025",8,"Harbor Partners, Westbrook Capital Partners",Late Stage Venture
Series B - Axi Systems,"New York, New York, United States",SaaS,Axi Systems,Series B,"$46,000,000","Jun 19, 2025",5,Aurora Ventures,Early Stage Venture
Seed - Runebloom Compute,"New York, New York, United States","Agentic AI, AI Infrastructure",Runebloom Compute,Seed,"$4,000,000","Apr 18, 2026",4,Catalyst Partners,Seed
Series A - Halo Technologies,"Boston, Massachusetts, United States","SaaS, Agentic AI",Halo Technologies,Series A,"$17,600,000","Feb 28, 2026",4,"Aurora Group, Apex Capital",Early Stage Venture
Series A - Coda Cloud,"Boston, Massachusetts, United States","SaaS, Generative AI",Coda Cloud,Series A,"$12,600,000","Nov 23, 2025",4,Crescent Capital,Early Stage Venture
Series C - Tensor Technologies,"Denver, Colorado, United States",AI Infrastructure,Tensor Technologies,Series C,"$105,200,000","Aug 8, 2025",7,"Vista Capital, Brightwater VC",Late Stage Venture
Series B - Keystoneorbit Flow,"Austin, Texas, United States",SaaS,Keystoneorbit Flow,Series B,"$68,900,000","Feb 3, 2026",3,"Catalyst Capital, Foundry VC",Early Stage Venture
Seed - Prism Cloud,"San Diego, California, United States","Agentic AI, AI Infrastructure",Prism Cloud,Seed,"$3,800,000","Feb 14, 2026",1,Brightwater VC,Seed
Seed - Nimbus Works,"Montreal, Quebec, Canada",AI Infrastructure,Nimbus Works,Seed,"$4,800,000","Feb 5, 2026",3,"Union Square Capital, Aurora Group",Seed
Seed - Muraforge,"Toronto, Ontario, Canada","Generative AI, SaaS",Muraforge,Seed,"$3,700,000","Nov 18, 2025",2,Anchor Partners,Seed
Seed - Tensor.ai,"San Francisco, California, United States",Agentic AI,Tensor.ai,Seed,"$3,500,000","Feb 24, 2026",1,Northstar VC,Seed
Series A - Opal.ai,"Boston, Massachusetts, United States",Generative AI,Opal.ai,Series A,"$22,900,000","Jan 31, 2026",2,Harbor Ventures,Early Stage Venture
Seed - Cradle Compute,"Toronto, Ontario, Canada","AI Infrastructure, SaaS",Cradle Compute,Seed,"$8,400,000","Dec 31, 2025",1,"Granite Capital, Lakeside Ventures",Seed
Series A - Nova Technologies,"San Jose, California, United States","AI Infrastructure, Generative AI",Nova Technologies,Series A,"$14,900,000","Mar 5, 2026",4,"Northstar VC, Greylock Capital",Early Stage Venture
Series B - Bloomverge Stack,"Mountain View, California, United States",SaaS,Bloomverge Stack,Series B,"$48,000,000","May 21, 2026",5,"Catalyst Ventures, Sterling Capital Partners",Early Stage Venture
Series C - Halo Stack,"San Francisco, California, United States",Generative AI,Halo Stack,Series C,"$158,200,000","Aug 7, 2025",3,"Vista Fund, Stonebridge Group",Late Stage Venture
Seed - Nimbus Intelligence,"New York, New York, United States",Foundational AI,Nimbus Intelligence,Seed,"$15,800,000","Oct 24, 2025",4,Pinnacle Ventures,Seed
Series D - Prism Core,"Seattle, Washington, United States","Foundational AI, SaaS",Prism Core,Series D,"$242,300,000","Aug 16, 2025",8,Greylock Capital,Late Stage Venture
Series C - Axi Sense,"Denver, Colorado, United States","SaaS, AI Infrastructure, Generative AI",Axi Sense,Series C,"$498,500,000","Aug 8, 2025",4,"Harbor Ventures, Summit Group",Late Stage Venture
Series A - Cortex Flow,"Toronto, Ontario, Canada","AI Infrastructure, Foundational AI, SaaS",Cortex Flow,Series A,"$48,300,000","Sep 13, 2025",5,Catalyst Partners,Early Stage Venture
Seed - Sable Logic,"Palo Alto, California, United States","Foundational AI, Generative AI",Sable Logic,Seed,"$5,200,000","Jun 17, 2025",3,Lighthouse Capital,Seed
Series A - Solace Dynamics,"New York, New York, United States","AI Infrastructure, Agentic AI",Solace Dynamics,Series A,"$28,600,000","Aug 1, 2025",5,Highland Partners,Early Stage Venture
Series B - Latent,"Vancouver, British Columbia, Canada",SaaS,Latent,Series B,"$34,800,000","Mar 18, 2026",6,Highland Ventures,Early Stage Venture
Series C - Atlas Scale,"Palo Alto, California, United States","SaaS, AI Infrastructure, Agentic AI",Atlas Scale,Series C,"$72,600,000","Oct 4, 2025",7,"Foundry Group, Meridian VC",Late Stage Venture
Seed - Reify Stack,"San Francisco, California, United States","Generative AI, Agentic AI, SaaS",Reify Stack,Seed,"$1,000,000","Feb 11, 2026",1,Compass Ventures,Seed
Series A - Vela Labs,"Seattle, Washington, United States","AI Infrastructure, Generative AI",Vela Labs,Series A,"$39,300,000","Jul 28, 2025",3,Northstar Fund,Early Stage Venture
Seed - Luminzenith.ai,"New York, New York, United States","SaaS, Agentic AI, Generative AI",Luminzenith.ai,Seed,"$3,500,000","Oct 14, 2025",4,"Lakeside Capital, Ascent Partners",Seed
Series A - Pace Flow,"San Diego, California, United States","AI Infrastructure, Generative AI",Pace Flow,Series A,"$18,000,000","Mar 21, 2026",4,Stonebridge Group,Early Stage Venture
Seed - Cascade Sense,"Cambridge, Massachusetts, United States","SaaS, AI Infrastructure, Agentic AI",Cascade Sense,Seed,"$3,900,000","Mar 31, 2026",4,Frontier Ventures,Seed
Seed - Echoflux Labs,"San Francisco, California, United States",Generative AI,Echoflux Labs,Seed,"$2,900,000","Jun 22, 2025",1,"Anchor Partners, Compass Ventures",Seed
Seed - Opal Layer,"San Francisco, California, United States",SaaS,Opal Layer,Seed,"$13,400,000","Jan 7, 2026",4,Catalyst Partners,Seed
Seed - Quillbeacon Sense,"San Francisco, California, United States",AI Infrastructure,Quillbeacon Sense,Seed,"$4,900,000","Nov 20, 2025",1,Northstar Fund,Seed
Series D - Verge AI,"Cambridge, Massachusetts, United States",Generative AI,Verge AI,Series D,"$415,300,000","Dec 12, 2025",3,"Pinnacle Fund, Aurora Group",Late Stage Venture
Series B - Zealwren Logic,"New York, New York, United States",AI Infrastructure,Zealwren Logic,Series B,"$51,900,000","Nov 15, 2025",6,Sterling Capital,Early Stage Venture
Series B - Halohale AI,"Toronto, Ontario, Canada",SaaS,Halohale AI,Series B,"$37,900,000","Sep 27, 2025",6,Ascent Growth,Early Stage Venture
Seed - Orbit Core,"Cambridge, Massachusetts, United States","Agentic AI, SaaS",Orbit Core,Seed,"$2,700,000","Feb 27, 2026",1,Frontier Growth,Seed
Series D - Dyne AI,"Austin, Texas, United States",SaaS,Dyne AI,Series D,"$181,700,000","Apr 12, 2026",5,"Apex Capital, Vertex Growth",Late Stage Venture
Series A - Onyx Grid,"San Francisco, California, United States","Agentic AI, Foundational AI",Onyx Grid,Series A,"$170,100,000","Jul 1, 2025",2,"Northstar Growth, Aurora Capital",Early Stage Venture
Seed - Cove Flow,"Montreal, Quebec, Canada",SaaS,Cove Flow,Seed,"$5,100,000","Jul 20, 2025",3,Redwood Growth,Seed
Series A - Cortexmura Layer,"San Francisco, California, United States","Generative AI, AI Infrastructure",Cortexmura Layer,Series A,"$25,500,000","Sep 26, 2025",4,Ascent Capital,Early Stage Venture
Series B - Cradletensor Compute,"San Francisco, California, United States",SaaS,Cradletensor Compute,Series B,"$45,800,000","Feb 26, 2026",4,Northstar VC,Early Stage Venture
Series A - Tensorbrim Flow,"Toronto, Ontario, Canada","Generative AI, AI Infrastructure",Tensorbrim Flow,Series A,"$25,200,000","Jul 3, 2025",3,"Lighthouse Capital Partners, Keystone Fund",Early Stage Venture
Seed - Maraanchor Core,"Seattle, Washington, United States",Generative AI,Maraanchor Core,Seed,"$1,700,000","Jan 26, 2026",1,"Anchor Partners, Brightwater Fund",Seed
Series B - Umbra Works,"Mountain View, California, United States",Generative AI,Umbra Works,Series B,"$94,500,000","Aug 28, 2025",2,Westbrook VC,Early Stage Venture
Series A - JunO Flow,"Boston, Massachusetts, United States","Generative AI, SaaS",JunO Flow,Series A,"$19,600,000","Jan 24, 2026",5,"North Group, Aurora Growth",Early Stage Venture
Series A - Vail Works,"Chicago, Illinois, United States","Generative AI, SaaS",Vail Works,Series A,"$30,700,000","May 19, 2026",4,Frontier Ventures,Early Stage Venture
Series D - Sable Compute,"Atlanta, Georgia, United States",Generative AI,Sable Compute,Series D,"$209,300,000","Jul 25, 2025",3,Summit Capital Partners,Late Stage Venture
Series B - Rune Systems,"Austin, Texas, United States","AI Infrastructure, SaaS",Rune Systems,Series B,"$130,300,000","Mar 27, 2026",5,"Frontier Ventures, Union Square VC",Early Stage Venture
Series D - Latticenexa Sense,"Vancouver, British Columbia, Canada","SaaS, Agentic AI, Foundational AI",Latticenexa Sense,Series D,"$587,500,000","Jan 18, 2026",5,Anchor Ventures,Late Stage Venture
Series A - Brim AI,"San Francisco, California, United States",Foundational AI,Brim AI,Series A,"$41,800,000","Sep 1, 2025",3,Union Square VC,Early Stage Venture
Seed - Orbit Compute,"New York, New York, United States",SaaS,Orbit Compute,Seed,"$3,800,000","May 10, 2026",4,Lakeside Ventures,Seed
Seed - Hale Labs,"Cambridge, Massachusetts, United States","Agentic AI, SaaS",Hale Labs,Seed,"$2,200,000","Jul 16, 2025",4,Northstar VC,Seed
Seed - Solace Scale,"Austin, Texas, United States","AI Infrastructure, Generative AI, Agentic AI",Solace Scale,Seed,"$2,400,000","May 4, 2026",4,Foundry Partners,Seed
Seed - Vox AI,"New York, New York, United States","Agentic AI, AI Infrastructure",Vox AI,Seed,"$2,500,000","Nov 21, 2025",1,Summit Capital Partners,Seed
Series D - Dyne Core,"Boston, Massachusetts, United States",SaaS,Dyne Core,Series D,"$164,700,000","Sep 25, 2025",7,Harbor Partners,Late Stage Venture
Seed - Axiaxi Core,"San Francisco, California, United States",Foundational AI,Axiaxi Core,Seed,"$9,100,000","Sep 13, 2025",4,Stonebridge Capital,Seed
Series A - Strataonyx Dynamics,"Mountain View, California, United States",Generative AI,Strataonyx Dynamics,Series A,"$20,100,000","May 25, 2026",2,"Greylock Capital, Summit Ventures",Early Stage Venture
Series B - Umbra Core,"San Francisco, California, United States","Generative AI, SaaS",Umbra Core,Series B,"$87,800,000","Jul 4, 2025",6,Frontier Growth,Early Stage Venture
Series A - Rune AI,"New York, New York, United States","AI Infrastructure, Generative AI",Rune AI,Series A,"$28,500,000","Oct 17, 2025",5,Highland Fund,Early Stage Venture
Series B - Dyne Flow,"Boston, Massachusetts, United States","AI Infrastructure, SaaS",Dyne Flow,Series B,"$95,200,000","Oct 6, 2025",6,Pinnacle Ventures,Early Stage Venture
Series A - Umbra Stack,"Washington, District of Columbia, United States",Foundational AI,Umbra Stack,Series A,"$31,500,000","May 4, 2026",2,North Capital,Early Stage Venture
Seed - Hale Logic,"Toronto, Ontario, Canada","Generative AI, SaaS",Hale Logic,Seed,"$1,600,000","Jul 2, 2025",2,"Catalyst Partners, Granite Capital Partners",Seed
Series B - Tildewren Technologies,"Palo Alto, California, United States",Agentic AI,Tildewren Technologies,Series B,"$44,000,000","Jun 26, 2025",2,Pinnacle Fund,Early Stage Venture
Series A - Onyxlumen Compute,"Ottawa, Ontario, Canada","Generative AI, SaaS",Onyxlumen Compute,Series A,"$25,100,000","Mar 13, 2026",5,Highland Ventures,Early Stage Venture
Seed - Sage Cloud,"New York, New York, United States","Generative AI, Agentic AI",Sage Cloud,Seed,"$4,800,000","Mar 20, 2026",4,"Sterling Capital, Vista Fund",Seed
Series D - Arc AI,"Palo Alto, California, United States",Foundational AI,Arc AI,Series D,"$1,042,400,000","Dec 13, 2025",4,"Crescent Capital, North Group",Late Stage Venture
Seed - Dyne Cloud,"San Jose, California, United States",Generative AI,Dyne Cloud,Seed,"$6,700,000","Jul 31, 2025",2,Crescent Capital,Seed
Series D - Grove Stack,"Los Angeles, California, United States","Agentic AI, SaaS",Grove Stack,Series D,"$333,600,000","Aug 30, 2025",5,"Redwood Ventures, Lighthouse Capital",Late Stage Venture
Series A - Nimbus Flow,"San Francisco, California, United States","Foundational AI, SaaS, Agentic AI",Nimbus Flow,Series A,"$106,700,000","Mar 29, 2026",5,Vertex Growth,Early Stage Venture
Series D - Fableforge Core,"Toronto, Ontario, Canada",SaaS,Fableforge Core,Series D,"$97,300,000","Feb 1, 2026",5,Harbor Capital Partners,Late Stage Venture
Series B - Fable Compute,"Palo Alto, California, United States","SaaS, Agentic AI",Fable Compute,Series B,"$51,000,000","Mar 13, 2026",3,Cobalt Fund,Early Stage Venture
Seed - Vox Works,"New York, New York, United States","SaaS, Generative AI",Vox Works,Seed,"$4,100,000","Sep 9, 2025",1,Harbor Fund,Seed
Seed - Coda Systems,"Toronto, Ontario, Canada","Agentic AI, SaaS",Coda Systems,Seed,"$2,700,000","Apr 27, 2026",2,Catalyst Ventures,Seed
Seed - Nexa Grid,"San Francisco, California, United States","AI Infrastructure, SaaS",Nexa Grid,Seed,"$5,500,000","Dec 16, 2025",2,"Cobalt Fund, Northstar Ventures",Seed
Series B - Sagefable AI,"Los Angeles, California, United States",Agentic AI,Sagefable AI,Series B,"$52,500,000","Jan 29, 2026",6,Stonebridge Group,Early Stage Venture
Series C - Onyx Works,"Montreal, Quebec, Canada",Generative AI,Onyx Works,Series C,"$89,100,000","Sep 16, 2025",7,"Harbor Growth, Stonebridge Group",Late Stage Venture
Series A - Umbra,"Cambridge, Massachusetts, United States","Agentic AI, SaaS",Umbra,Series A,"$18,300,000","May 20, 2026",2,Vista Fund,Early Stage Venture
Series A - Cove Technologies,"Palo Alto, California, United States","SaaS, Generative AI",Cove Technologies,Series A,"$13,900,000","Mar 13, 2026",3,Summit Capital Partners,Early Stage Venture
Series A - Solacevela Grid,"Montreal, Quebec, Canada",SaaS,Solacevela Grid,Series A,"$54,500,000","Sep 17, 2025",3,Sterling VC,Early Stage Venture
Series B - Neurnimbus AI,"New York, New York, United States",Generative AI,Neurnimbus AI,Series B,"$51,300,000","Feb 16, 2026",6,"Granite Capital Partners, Apex Partners",Early Stage Venture
Series A - Parse Systems,"Toronto, Ontario, Canada",Generative AI,Parse Systems,Series A,"$11,300,000","Apr 29, 2026",3,"Union Square VC, Crescent Fund",Early Stage Venture
Series A - Yara Cloud,"San Diego, California, United States",Foundational AI,Yara Cloud,Series A,"$79,600,000","Dec 7, 2025",4,"Crescent Fund, Aurora Growth",Early Stage Venture
Series A - Quant Core,"Toronto, Ontario, Canada",Generative AI,Quant Core,Series A,"$17,200,000","Apr 28, 2026",5,"Anchor VC, Lighthouse Capital",Early Stage Venture
Series B - Runebloom Cloud,"Denver, Colorado, United States","SaaS, AI Infrastructure",Runebloom Cloud,Series B,"$128,300,000","Jun 22, 2025",6,"Brightwater Capital Partners, Granite Capital Partners",Early Stage Venture
Series B - Latticepace Scale,"Austin, Texas, United States",AI Infrastructure,Latticepace Scale,Series B,"$83,100,000","Jan 22, 2026",2,Foundry Group,Early Stage Venture
Series A - Iris Systems,"New York, New York, United States","SaaS, Agentic AI",Iris Systems,Series A,"$20,000,000","Jul 10, 2025",5,"Brightwater Fund, Harbor Growth",Early Stage Venture
Series A - Verge Core,"Los Angeles, California, United States",SaaS,Verge Core,Series A,"$6,300,000","Mar 23, 2026",3,Anchor VC,Early Stage Venture
Series D - Vail Logic,"Montreal, Quebec, Canada","Generative AI, SaaS",Vail Logic,Series D,"$468,500,000","Jul 31, 2025",6,Meridian Partners,Late Stage Venture
Series B - Arc Compute,"San Francisco, California, United States","Generative AI, Foundational AI",Arc Compute,Series B,"$349,100,000","Oct 22, 2025",2,"Crescent Fund, Apex Capital",Early Stage Venture
Series C - Yara Systems,"Denver, Colorado, United States",Generative AI,Yara Systems,Series C,"$57,700,000","Aug 7, 2025",3,"Harbor Capital Partners, Lakeside Capital",Late Stage Venture
Seed - Larqvail Technologies,"San Francisco, California, United States","SaaS, Generative AI",Larqvail Technologies,Seed,"$5,500,000","Mar 22, 2026",1,"Ascent Capital, Stonebridge Group",Seed
Series A - Hyperecho Layer,"Palo Alto, California, United States",SaaS,Hyperecho Layer,Series A,"$15,900,000","Oct 22, 2025",2,Bay Capital,Early Stage Venture
Series A - Covemara Dynamics,"San Francisco, California, United States","SaaS, Generative AI, AI Infrastructure",Covemara Dynamics,Series A,"$67,100,000","Dec 9, 2025",2,Ascent Growth,Early Stage Venture
Series B - Neur Compute,"Toronto, Ontario, Canada","AI Infrastructure, SaaS, Generative AI",Neur Compute,Series B,"$46,400,000","Jun 23, 2025",4,Beacon Ventures,Early Stage Venture
Seed - Nexa Core,"Seattle, Washington, United States","Generative AI, Agentic AI",Nexa Core,Seed,"$10,800,000","Nov 7, 2025",3,"Anchor Ventures, Ascent VC",Seed
Seed - Vail Intelligence,"New York, New York, United States","Foundational AI, AI Infrastructure",Vail Intelligence,Seed,"$4,900,000","Jul 30, 2025",4,"Lighthouse Capital, Pinnacle Ventures",Seed
Series B - Sagenexa Scale,"San Francisco, California, United States","Generative AI, AI Infrastructure",Sagenexa Scale,Series B,"$62,200,000","May 6, 2026",6,Lakeside Capital,Early Stage Venture
Seed - Zenith Layer,"Los Angeles, California, United States","Generative AI, SaaS",Zenith Layer,Seed,"$5,200,000","Jan 2, 2026",1,Vista Capital,Seed
Series D - Cove Intelligence,"San Francisco, California, United States",SaaS,Cove Intelligence,Series D,"$313,200,000","Mar 5, 2026",7,Anchor VC,Late Stage Venture
Series D - Echoanchor Scale,"San Francisco, California, United States",Generative AI,Echoanchor Scale,Series D,"$423,500,000","Nov 19, 2025",5,Brightwater VC,Late Stage Venture
Seed - Vant Scale,"Toronto, Ontario, Canada","SaaS, Generative AI",Vant Scale,Seed,"$2,800,000","Nov 6, 2025",1,"Westbrook Capital Partners, Highland Fund",Seed
Series C - Parse.ai,"Austin, Texas, United States",Generative AI,Parse.ai,Series C,"$186,800,000","May 18, 2026",4,Catalyst Ventures,Late Stage Venture
